================ Training Loss (Mon May 27 10:09:40 2019) ================
(epoch: 23, iters: 200, time: 0.308, data: 0.002) D_A: 1.430 G_A: 0.113 cycle_A: 2.251 idt_A: 1.060 D_B: 0.872 G_B: 0.293 cycle_B: 2.472 idt_B: 0.991 
(epoch: 24, iters: 100, time: 0.296, data: 0.271) D_A: 0.714 G_A: 1.325 cycle_A: 2.531 idt_A: 1.312 D_B: 0.804 G_B: 0.327 cycle_B: 2.507 idt_B: 1.262 
(epoch: 24, iters: 200, time: 2.315, data: 0.002) D_A: 0.692 G_A: 1.015 cycle_A: 1.634 idt_A: 1.057 D_B: 0.524 G_B: 0.551 cycle_B: 1.997 idt_B: 0.740 
(epoch: 25, iters: 100, time: 0.299, data: 0.327) D_A: 0.297 G_A: 1.372 cycle_A: 2.108 idt_A: 1.056 D_B: 0.445 G_B: 0.161 cycle_B: 2.261 idt_B: 1.043 
(epoch: 25, iters: 200, time: 0.300, data: 0.002) D_A: 0.175 G_A: 1.147 cycle_A: 3.021 idt_A: 0.709 D_B: 0.790 G_B: 0.980 cycle_B: 2.784 idt_B: 1.435 
(epoch: 26, iters: 100, time: 0.297, data: 0.298) D_A: 0.488 G_A: 1.786 cycle_A: 1.888 idt_A: 1.069 D_B: 0.346 G_B: 0.631 cycle_B: 1.953 idt_B: 0.898 
(epoch: 26, iters: 200, time: 2.198, data: 0.002) D_A: 0.438 G_A: 1.488 cycle_A: 1.525 idt_A: 0.841 D_B: 0.658 G_B: 0.653 cycle_B: 1.450 idt_B: 0.738 
(epoch: 27, iters: 100, time: 0.302, data: 0.321) D_A: 0.692 G_A: 1.336 cycle_A: 2.695 idt_A: 0.842 D_B: 0.587 G_B: 1.104 cycle_B: 1.990 idt_B: 1.325 
(epoch: 27, iters: 200, time: 0.302, data: 0.002) D_A: 0.523 G_A: 0.833 cycle_A: 1.616 idt_A: 1.062 D_B: 0.624 G_B: 0.662 cycle_B: 3.239 idt_B: 0.854 
(epoch: 28, iters: 100, time: 0.305, data: 0.250) D_A: 0.588 G_A: 1.192 cycle_A: 2.251 idt_A: 0.641 D_B: 0.411 G_B: 1.040 cycle_B: 1.342 idt_B: 1.260 
